success,num_layers,num_dp,num_pp,num_tp,num_mb,gbs,num_heads,hidden_size,seqlen,n_activated_experts,n_routed_experts,t_graph,t_lineage,t_schedule,t_vrf,t_total,sm,pm,error
True,32,512,1,1,1,512,32,4096,128,,,148.211758852005,43.00199747085571,192.75253009796143,255.9338457584381,684.6738548278809,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp512_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,80,16,4,8,32,512,64,4096,128,,,1956.19766664505,380.4222319126129,1131.700697183609,4338.123256921768,8531.696491718292,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly80_h64_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp8_nm32_gbs512_ly80_h64_hi4096_sq128.pkl,[]
True,126,64,16,8,16,2048,128,1024,128,,,6298.2853746414185,1926.9437563419342,4186.145077705383,14090.183507442474,28785.986322402954,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs2048_ly126_h128_hi1024_sq128.pkl,gen_model/mgeners/llama3_default_dp64_pp16_tp8_nm16_gbs2048_ly126_h128_hi1024_sq128.pkl,[]
True,27,16,2,4,16,1024,16,512,128,6,64,204.50900602340698,31.581650972366333,116.77492928504944,932.7143168449402,1350.8003070354462,gen_model/mgeners/moe_default_dp1_pp1_tp1_nm1_gbs1024_ly27_h16_hi512_sq128_a6_r64.pkl,gen_model/mgeners/moe_default_dp16_pp2_tp4_nm16_gbs1024_ly27_h16_hi512_sq128_a6_r64.pkl,[]
True,60,16,4,8,16,1024,128,512,128,6,160,1055.6510744094849,160.12511658668518,679.1783254146576,6003.762971639633,8484.140403270721,gen_model/mgeners/moe_default_dp1_pp1_tp1_nm1_gbs1024_ly60_h128_hi512_sq128_a6_r160.pkl,gen_model/mgeners/moe_default_dp16_pp4_tp8_nm16_gbs1024_ly60_h128_hi512_sq128_a6_r160.pkl,[]
True,61,32,8,8,16,1024,128,512,128,8,256,2141.137913942337,343.6600263118744,1542.4521777629852,27594.353694200516,32370.762299776077,gen_model/mgeners/moe_default_dp1_pp1_tp1_nm1_gbs1024_ly61_h128_hi512_sq128_a8_r256.pkl,gen_model/mgeners/moe_default_dp32_pp8_tp8_nm16_gbs1024_ly61_h128_hi512_sq128_a8_r256.pkl,[]
