success,num_layers,num_dp,num_pp,num_tp,num_mb,gbs,num_heads,hidden_size,seqlen,n_activated_experts,n_routed_experts,t_graph,t_lineage,t_schedule,t_vrf,t_total,sm,pm,error
True,32,16,4,8,2,512,32,4096,128,,,63.46551871299744,8.362359523773193,31.241725206375122,123.62671709060669,243.49774408340454,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp8_nm2_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,8,4,512,32,4096,128,,,108.92552185058594,26.29750108718872,57.20591187477112,269.6460688114166,496.46549248695374,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp8_nm4_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,8,8,512,32,4096,128,,,203.25905561447144,54.42406105995178,120.04819798469543,529.2737617492676,975.6301176548004,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp8_nm8_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,8,16,512,32,4096,128,,,386.18353962898254,106.74887228012085,234.23235845565796,1049.1637210845947,1915.648402929306,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp8_nm16_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,8,32,512,32,4096,128,,,770.7979347705841,292.0642046928406,498.7233724594116,2102.794321537018,3940.6446783542633,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp8_nm32_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,1,8,512,32,4096,128,,,26.47450304031372,7.267096757888794,13.48276972770691,60.275827169418335,115.61753010749817,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp1_nm8_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,2,8,512,32,4096,128,,,51.8970365524292,18.550417184829712,20.8341863155365,135.68093919754028,243.66415882110596,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp2_nm8_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,4,8,512,32,4096,128,,,105.14332747459412,16.299211978912354,55.18012022972107,261.48715138435364,471.8256185054779,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp4_nm8_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,16,4,8,8,512,32,4096,128,,,202.31432676315308,53.83258581161499,120.81432867050171,527.0954027175903,975.1744918823242,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp16_pp4_tp8_nm8_gbs512_ly32_h32_hi4096_sq128.pkl,[]
True,32,2,4,8,8,512,32,4096,128,,,28.291193962097168,8.32970643043518,12.947393417358398,58.664559841156006,115.22122168540955,gen_model/mgeners/llama3_default_dp1_pp1_tp1_nm1_gbs512_ly32_h32_hi4096_sq128.pkl,gen_model/mgeners/llama3_default_dp2_pp4_tp8_nm8_gbs512_ly32_h32_hi4096_sq128.pkl,[]
